otc_id,nfl_player_id,esbid,gsis_id,gsis_it_id,pff_id
413,,LEA091822,00-0019435,26080,750
414,,POT363378,00-0029551,38751,7205
415,496851,SCH441573,00-0027730,35569,5653
416,2503971,LEN394692,00-0019104,25710,751
417,2495504,,00-0027943,37078,6157
418,2507675,WAL309457,00-0026727,34946,5351
419,,,00-0028722,38189,6837
420,2508112,HOU358294,00-0028007,37144,6221
421,,,00-0027976,37113,6190
422,2532894,,00-0029531,38715,7174
423,2495101,ACH678651,00-0028041,37178,6255
424,,,00-0029356,39259,7495
425,2532889,,00-0029546,38681,7144
427,,,00-0029550,38744,7199
428,1336,HAY062620,00-0026321,33262,4495
429,,,00-0028736,38204,6939
430,,,00-0029349,39252,7490
431,2499275,GAC280472,00-0028172,37309,6386
432,,SVI677581,00-0023620,30014,2404
433,2507828,PAU641214,00-0027215,35722,5795
434,2505299,GAT194627,00-0021547,28495,1609
435,,,00-0028522,38002,6689
436,,TAY031781,00-0029525,38603,7075
437,2530751,BIR070599,00-0028575,38055,6731
438,496865,,00-0027745,35585,5669
439,2495974,WHI646241,00-0024296,30895,3026
440,,,00-0028573,38053,6729
441,2495483,LIU237308,00-0027956,37091,6170
442,4273,,00-0026317,33258,4491
443,,,00-0028586,38066,6741
444,,,00-0027912,36508,6106
445,494309,STU152615,00-0027710,35549,5634
446,,,00-0029203,38756,7210
447,496903,BUT163080,00-0027682,35518,5603
448,1990,ROY461040,00-0026182,33123,4356
449,2533540,BAK183603,00-0029317,38781,7231
450,2495775,WED290361,00-0025424,32230,3653
451,,,00-0029454,39335,7542
452,,,00-0025787,32965,4279
453,2505641,JOH338168,00-0022139,28145,1421
454,,CLA683232,00-0024401,31002,3132
455,,TRO665351,00-0029288,38679,7651
456,,,00-0027999,37136,6213
457,2532937,REY020742,00-0029256,38579,7052
458,,,00-0027506,36027,5992
459,2530722,NEL536534,00-0028374,37669,6428
460,2532853,GRE298482,00-0029275,38640,7110
461,80423,ENG571656,00-0026992,34467,4939
462,2507209,MCC333237,00-0025524,32330,3753
463,,,00-0029456,39337,7544
464,306,ROD616216,00-0026156,33097,4330
465,2505785,FLO762180,00-0022414,29421,2044
466,2495153,GIL211032,00-0027988,37125,6202
467,2532870,,00-0029249,38548,7024
468,,,00-0029457,39338,7730
469,,SCI453647,00-0022017,28187,1458
470,,,00-0029464,39346,7549
471,,HAR070819,00-0022804,29019,1787
472,,,00-0027715,35554,5639
473,2506121,,00-0022942,28956,1725
474,2495859,HUF222475,00-0024222,30821,2952
475,,,00-0022905,29127,1892
476,2495676,MEA057501,00-0025414,32220,3643
477,2506341,BRO662745,00-0023437,29822,2219
478,497188,MAT190010,00-0027864,35451,5537
479,,,00-0029451,39332,7539
480,2495251,WRI652077,00-0028027,37164,6241
481,,,00-0026674,34893,5311
482,,SCH176939,00-0028139,37276,6353
483,,,00-0027782,35623,5707
484,,,00-0027097,34584,5057
485,216,DAV318170,00-0026188,33129,4362
486,2508115,BRO744480,00-0028020,37157,6234
487,,,00-0023405,30550,3301
488,2539297,,00-0030027,40065,7899
489,2495116,BAI026169,00-0028024,37161,6238
490,,,00-0028651,38125,6787
491,2507444,,00-0026093,33632,4759
492,2495714,QUI529720,00-0025409,32215,3638
493,2505745,WIL694602,00-0022341,29343,2210
494,754,FLO296357,00-0026175,33116,4349
495,,,00-0027639,36177,6062
496,2532851,GRA622876,00-0029298,38712,7655
497,,,00-0029541,38676,7650
498,2506353,JOH202085,00-0023449,29840,2232
499,2532979,,00-0029274,38637,7107
500,497190,MCC467156,00-0027651,35475,5561
501,,STE480479,00-0029543,38604,7076
502,,,00-0029114,39081,7695
503,2495558,BOW091822,00-0025410,32216,3639
504,496723,BER517115,00-0027858,35444,5530
505,89798,SMI040756,00-0026855,35098,5440
506,2495265,BRO477381,00-0028056,37193,6270
507,925,CHA561428,00-0026213,33154,4387
508,,,00-0028417,37897,6603
509,494249,ARE404040,00-0027660,35489,5575
510,2532787,ALL482500,00-0029524,38574,7642
511,2495217,POW036255,00-0028137,37274,6351
512,,ASA577796,00-0027673,35507,5593
513,,BAL366946,00-0027964,37099,6178
514,79579,,00-0027065,34544,5016
515,2535964,BEL647328,00-0029319,39222,7472
516,2532862,HEM180859,00-0029311,38768,7222
517,2495493,,00-0028008,37145,6222
518,494277,LEW430412,00-0027736,35575,5659
519,2507763,WAL468678,00-0026901,34535,5007
520,,,00-0026647,34866,5292
522,2506908,RUC531571,00-0024306,30905,3036
523,,,00-0028073,37210,6287
524,2495171,,00-0027993,37130,6207
525,,MCN825303,00-0029424,38724,7182
526,,,00-0022350,29354,2105
527,89802,,00-0026968,34707,5180
528,2495461,DRA542186,00-0028202,37701,6440
529,,ALB334450,00-0026155,33096,4329
530,,,00-0027567,36096,6028
531,2506883,HAL131362,00-0024235,30834,2965
532,,,00-0022388,29392,2016
533,497256,MOE265365,00-0027695,35532,5617
534,71341,JAC610518,00-0026980,34454,4926
535,,,00-0029324,39227,7474
536,2503471,VIN196019,00-0016919,21213,226
537,,,,,
538,2533031,LUC524055,00-0029668,38531,7007
539,2495137,,00-0027960,37095,6174
540,2495807,BET074391,00-0024421,31022,3152
541,71461,SHI382248,00-0026950,34677,5150
542,2495174,IJA385627,00-0027987,37124,6201
543,,SOW244611,00-0029091,39038,7693
544,,,00-0024002,31097,3427
545,81857,,00-0026780,35004,5387
546,,,00-0029554,38784,7234
547,,GEA408541,00-0027784,35625,5709
548,2532838,FLE075352,00-0029697,38564,7038
549,2505510,RED327892,00-0021998,28102,1381
550,,,00-0029517,39399,7590
551,2533352,HOW538133,00-0028895,38839,7268
553,2535724,,00-0028994,37629,6988
554,2507779,BRO398445,00-0027003,34478,4950
555,208,,00-0026167,33108,4341
556,2495208,,00-0028025,37162,6239
557,2533046,ALL164177,00-0029689,38594,7066
558,,,00-0030437,40850,8422
559,,GAR306621,00-0026351,33292,4525
560,2535876,WHA108810,00-0029033,38980,7351
561,,,00-0029036,38983,7352
562,,,00-0030483,40885,8143
563,,LIN669318,00-0027469,35987,5964
564,,MEN393702,00-0026163,33104,4337
565,2514414,FRE182967,00-0025920,33445,4888
566,496796,,00-0027881,35470,5556
567,,LEF333270,,,
568,,REI790497,00-0026408,33697,4789
569,2532811,CHA430904,00-0029574,38666,7646
570,,,00-0029549,38738,7194
571,,,00-0024582,32517,3962
572,496915,CON472381,00-0027831,35681,5763
573,,,00-0027431,35944,5936
574,494251,ASA595852,00-0027759,35599,5683
575,2532802,BRA812391,00-0029548,38735,7191
576,2495481,,00-0028171,37308,6385
577,,,00-0028182,37319,6396
578,,,00-0035296,47986,47662
579,,HAR799820,00-0028211,37711,6447
580,2522602,,00-0027187,35330,6979
581,,MCG507111,00-0026249,33190,4423
582,,,00-0028465,37945,6643
583,,PAL534886,00-0028906,38850,7277
584,,ANG284961,00-0027892,35502,5588
585,,,00-0028458,37938,6637
586,2504747,WAY456953,00-0020498,26248,800
587,1037901,MAT188704,00-0027829,35679,5761
588,,JOH656721,00-0030101,40131,7964
589,2505566,MAT227229,00-0022059,28174,1447
590,,,00-0029532,38732,7188
591,,SAT401790,00-0025447,32253,3676
592,,,00-0028414,37894,6600
593,2507834,BRO686791,00-0027232,35739,5803
594,,WIL532429,00-0027853,36494,6073
595,2532865,,00-0029608,38622,7092
596,2533012,BAL687264,00-0029547,38700,7162
597,79901,DAV786545,00-0027001,34476,4948
598,2495224,,00-0028270,37770,6496
599,,JUS425790,00-0024254,30853,2984
600,,,00-0028614,37675,6431
601,,SMI038086,00-0028353,37855,6571
602,,OHR444955,00-0026909,34574,5047
603,2495745,SPE434038,00-0025413,32219,3642
604,494259,CHU137380,00-0027416,35929,5924
605,,BAS362284,00-0029491,39373,7571
606,4365,,00-0026280,33221,4454
607,,,00-0026934,34638,5111
608,2506438,COL759300,00-0023534,29926,2316
609,2495136,CAR624497,00-0027978,37115,6192
610,,,00-0029635,38752,7206
611,,,00-0027741,35581,5665
612,2541408,JON161572,00-0028664,38138,6798
613,2535698,BEA434808,00-0029000,38947,7330
614,,,00-0028550,38030,6712
615,2495259,,00-0028660,38134,6796
616,,DEV727245,00-0028453,37933,6632
617,,,00-0029633,38682,7145
618,,,00-0028891,38835,7266
619,,WEE545877,00-0029080,39027,7691
620,,,00-0028048,37185,6262
621,2495207,MUR580353,00-0028009,37146,6223
622,2506349,WAR350675,00-0023445,29835,2228
623,497278,BRY336027,00-0027902,35463,5549
624,,BRO521714,00-0028979,38930,7679
625,81294,,00-0026625,34843,5277
626,2495159,HAR376781,00-0028114,37251,6328
627,931,,00-0026162,33103,4336
628,2507220,GAY400290,00-0025557,32363,3786
629,,,00-0028949,38900,7674
630,2533028,HAN244555,00-0029634,38716,7175
631,,,00-0029396,39300,7518
632,2495851,HAT099134,00-0024307,30906,3037
633,2505629,,00-0022127,28103,1384
634,2506556,RAT586227,00-0023656,30052,2441
635,,PAR613767,00-0026839,35067,5426
636,238354,COX192709,00-0027047,34524,4996
637,2508076,,00-0027852,36477,6072
638,,,00-0028665,38139,6799
639,2506444,ORT716150,00-0023541,29933,2323
640,2532974,,00-0029647,38643,7113
641,2535708,DUN098604,00-0029004,38951,7332
642,,,00-0024394,30995,3125
643,,,00-0026390,33331,4564
644,2506359,,00-0023455,29847,2237
645,,,00-0029648,38665,7134
646,,,00-0029030,38977,7348
647,2495801,AUS467198,00-0023921,31309,3211
648,,,00-0029392,39296,7728
649,2533059,CLA042651,00-0029676,38536,7012
650,,,00-0023958,31457,3400
651,,,00-0029133,39123,7417
652,2307,SCA335249,00-0026283,33224,4457
653,2530990,,00-0028613,37638,6420
654,,,00-0028591,38071,6745
655,,,00-0027339,35852,5872
656,2533454,LEA610932,00-0029010,38957,7338
657,,,00-0024266,30865,2996
658,496937,,00-0027663,35494,5580
659,1037896,LIS569586,00-0027826,35675,5757
660,2531177,MOO695945,00-0028767,38233,6871
661,,,00-0029001,38948,7331
662,80725,BUT604556,00-0027079,34561,5033
663,2495435,,00-0027947,37082,6161
664,2532821,CRA756298,00-0029641,38611,7083
665,,,00-0026226,33167,4400
666,,,00-0027417,35930,5925
667,,,00-0029470,39352,7555
668,2495835,FAS072076,00-0024268,30867,2998
669,,,00-0028400,37880,6590
670,,FIE463209,00-0025612,32418,3841
671,81831,HAR725593,00-0027077,34559,5031
672,2535522,,00-0028984,38935,7321
673,2506314,WAK155481,00-0023368,30153,4907
674,,,00-0028963,38914,7310
675,2495139,CLA715825,00-0028112,37249,6326
676,,,00-0026556,34769,5225
677,79844,ELL108165,00-0026857,35101,5442
678,2507401,CAR297693,00-0026003,33529,4697
